# Generated from Radheef (radheef.siyamex.com) by scripts/build_definitions.py — do not edit by hand.
ހަ	(ނ) ހަދޯނި
އުޅިކޮށާރު	ތިރިކޮށް ތަންދޮށަށް އެއްޗެހިލައި ބަންދުކުރެވޭނޭހެން ހުންނަ ކޮށާރެއް
އުޅިކޮށުން	އަނބުރައިފައި ހުންނަވައު ބައުވެގެން އޭގެ އުޅިތައް ތަންތަނުން ކެނޑިގެން ދިއުން
އުޅިއަށި	އެތެރޭގައި އެއްޗެހި ރައްކައުކުރެވޭނޭހެން ވަށައިގެން ބައްދައިފައި ހުންނައަށި
އުޅުނބު	އަންނަފޭލީގެ އަތްދުތާއި ޖެހިގެން ކަޅުކޮށް އޮންނަފަށް
އުޅުނބުދިޔަ	މިއީ ކާށިފެނަށް ދޮން ދަގަނޑު އަޅައިފައި އުދުނު ފުއްޑަނުގައި ބަހައްޓައިގެން ހަދާ ދިޔައެއް
އުޅުނބުޖެހުން	އުޅުނބުދިޔައިން އުއިނުވަތަ ފޭރާން ކަޅުކުރުން
އުޅުން	ގޮތްހުރިކަން
އުޅެފުން	އުޅުން
އުކައިލުން	(2) ބޭނުންނެތް އެއްޗެހިތަކެއް ތާކަށް އަޅައިލުން
އުކުނޑި	ކަރުތެރެޔަށް ބާރުކުރުމުން އަޑާކާއެކު ކުއްލިކުއްލިއަށް ކަރުތެރެއިން ނުކުންނަވަޔެއް
އުކުނޑިބުކުނޑި	(2) ގުބޯލެއްހެން ދެކޮޅު އެއްގޮތަށް ހުންނަ ދިރޭ އެއްޗެއް
އުކުނޑިކޮއްޓުން	އުކުޑީގެ ވައިނުކުތުން
އުކުނު	ގޮވާމާއި މީގެ ފުށުގައި އަޅާއުކުނު
އުކުނުވަޑޮ	) ކަނދުރާގެ އަޑިގަނޑު
އުކުން	މިސާލު: ބޯޅައުކުން
އުކުރުން	ތޫނުއެއްޗަކުން ގައިގެ ތަނެއް މިގޮތަށް ކެނޑުނީމާވެސް މިހެން ކިޔައެވެ
އުކުޅަށްއެރުވުން	ގަދަބައްޔަށް ހިފާއިރު އަނެކަކު ވައްޓައިލުމަށް ތިމާގެ އުކުޅަށްނެގުން
އުކުޅު	(2) ގަދަބައްޔަށް ހިފާއިރު ވައްޓައިލުމަށް ހަދާ ބައެއްގޮތް
އުކުޅުކަށިގަނޑު	އުކުޅުގެމަތީ ކަށިގަނޑު
އުކުޅުވަޅު	ފަޔާ ބަނޑާ ބެދުނުތައް
އުކުއްލުން	ހެރިފައި ހުރި ކައްޓެއްފަދަ އެއްޗެއް ނެރޭން އެއްޗަކުން ކޮއްޓުން
އުކުލަފަތި	ފަރުހިލާއިރު ގަލުން ބޮލިނައްޓާން ގެންގުލޭ އިލި
އުކުލަފަތިގަނޑު	އުކުލަފަތި
އުކުލުން	(2) ޅެން ރައިވަރުފަދަތަކެތި ތަރުތީބުކޮށް ރޭވުން
އުކުޑާ	) ފަރުޖު
އުކުޑު	) އުކުޅު
އުކޫ	" ބުނުމަށް ބުނާގޮތެއް
އުއި	(3) މި އުއިން ލާފާހަގަ
އުއިކެނޑުން	ވަޑީން އުއި ޖަހައިގެން ކޮށާއެތިގަނޑު ކޮށުމުގެ ތެރޭގައި އުއި ހުރި ހިސާބު އުނިވެގެން ދިއުން
އުއިކެއްޓު	އެތައް ބޮޅެއް އެއްކޮށް ބަނދެފައި އޮންނަ އުއިގަނޑު
އުއިކޮށުން	(2) ފޭރާމަކުން ވަކިވަކި އުއިފަށްފަށް ކެނޑުން
އުއިކޮށޭސަރަކަ	ކަފައިން އުއިހަދާ ސަރަކަ
އުއިވަށާކާލި	އުއިވެށުމަށްޓަކައި އުއިބޮޅު އެޅުވޭނެހެން ހަދައިފައި ހުންނަ އެނބުރޭ ކޮނޑިގަނޑެއް
އުއިވެށުން	ފިރޯއްޓަކަށް ނުވަތަ ކާއްޔަކަށް އުއިއޮޅުން
އުއިފެވުން	ކަޑި ނުވަތަ ދެލި އުނގުޅައި ތެންމުން
އުއިފޮލަނދު	) ގުއިބޮނޑި ނުކުންނަ ހުއިފިލަނޑާ
އުއިދަނޑި	ވަޑިންގެންގުޅޭ އުއި އޮޅާފައި އޮންނަ ދަނޑިގަނޑު
އުއިލުން	ފޭރާމުން ވިދޭ ތަންތަން ފަށް އުއިން ބެއްދުން
އުއިގަނޑު	ފޭރާންކުރާން ފުރާފައި ހުންނަ އުއި
އުއިޖެހުން	ވަޑިންލަކުޑިގަނޑު ކޮށާން އުއިން ފާހަގަލުން
އުއްޅަވައްކާރު	ރަސްމީގޮތުން ހަނުލާވެރިމީހާ
އުއްކަ	) އުކުޑި
އުއްކަޖެހުން	) އުކުޑިކޮއްޓުން
އުއްމުއްޞިބިޔާން	(2) މިބަލިޖައްސާކަމަށް ހީކުރާ ޖިންނި އެއްގެނަން
އުއްދަނޑި	މީގެ ރަތާ ހުދާ ދެބާވަތް ހުރެއެވެ
އުއްދަނޑިބުއިން	އުއްދަނޑި ހަފައިގެން އޭގެ ދިޔަ ބުއިން
އުއްދަނޑިބޯންދިނުން	ދާވަނިއެޅުން
އުއްދަނޑިފިހި	އުއްދަނޑިން ދިޔަ ފެލީމާ އޮންނަ ބައި
އުއްދުން	އުނދުން މައްޗަށްލުން
އުއްތަރައާނާންދަ	(3) ބަރަކާތްތެރި
އުއްތަރައެރުން	ރުޅިއައިސްގެން ބޮޑާވެގަނެގެން އުޅުން
އުއްތަރަވުން	ގަސްގަހަށް އަންނާންވީ އެންމެ ފުރިހަމަކަން އައުން
އުއްތަރު	(21) ޖަވާބު
އުއްތަމަ	(5) އަޚުލާޤު ރަނގަޅު
އުއްތަމަ ފަނޑިޔާރު	) އިސްފަނޑިޔާރު
އުއްތުން	މިކުލަ ގެނައުން
އުއްތުންނުފިލާ	(2) އައުކަން ނުކެނޑޭ
އުއްތުންފިލުން	(2) މަޖާޒު: ދެމީހެއްގެ އެކުވެރިކަމަށް ނުވަތަ މީހެއްގެ ގަދަރަށް އުނިކަން ލިބެމުން ދިއުން
އުއްތުންގަނޑު	އުއްތާން ހަދައިފައި ހުންނަ ފެން ނުވަތަ ބޭސް
އުއްލޫ	ބަކަމޫނު
އުއްސަކުރު	މިގިނައިން ގެންނަނީ ސީނުކަރައިންނެވެ
އުއްސުން	ހަނޑުލުފުށް ނުވަތަ ގޮނދަންފުށް މޮޑެފައި އެފުށްގަނޑު އާވީން ނޫނީ ފެނުކައްކައިގެން ހިސާބަކަށް ރޯފިލުވުން
އުއްޑުން	(3) ބަނޑުފުށް މައްޗަށް
އުއްޑުންވުން	(2) ބަނޑުފުށް މައްޗަށްވުން
އުއްޑުންފައްޔާދިއުން	އަތުން ފަލިޖަހަމުން ދިއުން
އުއްޑުންޖެހުން	(4) މަޖާޒު: ވާދަވެރިކަމުގެ ގޮތުން ދެމީހަކު ދެމެދުގައި ކުރިކަމަކުން އަނެކަކު މާބޮޑަށް ދެރަކޮށްލުން
އުއްޕަނިއޯގަ	ނަކަތްތެރިންގެ އިޞްޠިލާޙުގައި ނުބައި
އުވަ	ގައު އެނދީމާ ހުންނަ އަޅި
އުވަހަން	(2) މޫދުމަހުގައި އުވަހެން ހީވާއެއްޗެއް ހޭކިފައިހުންނަ ހަން
އުވަބިއްލުން	ދަނޑިން ބިތް ގަތައި ދެފުށުގައި އުވަޖެހުން
އުވަބިތް	ދަނޑިން ގަތައި ދެފުށުގައި އުވަޖަހައިފައި ހުންނަ ބިތް
އުވައިލުން	(2) ނައްތައިލުން
އުވައޮޑި	އުވަގަށަން ގެންގުޅޭދޯނި
އުވަވަޅު	(2) އުވަދަވާން ކޮނެފައި ނުވަތަ އުވަދެވުމަށްފަހު އުވަނަގައިފައި ހުންނަވަޅު
އުވަވަޅުރޯކުރުން	ޖަހައިފައިހުންނަ އުވަވަޅަށް އަލިފާންލުން
އުވަވަޅުޖެހުން	އޭގެމައްޗަށް ގައު އަޅައި އުވަދަވާން ތައްޔާރުކުރުން
އުވަފައްލަވަ	އުވައަޅައިފައި ހުންނަ ފައްލަވަ
އުވަފެން	ހުނިފެން
އުވަދެވުން	ގައުފަދަތަކެތި އަންދައިގެން އުވަޔަށް ހެދުން
އުވަދޯނި	އުވަގަށާން ހަދައިފައިހުންނަ ފޮށިގަނޑު
އުވަލުން	އުވަފުރާނައި ފެނުގައި ގިރައިގެން ތާކުހޭކުން
އުވަގަށާފަލި	މިއޮންނާނީ ފަރަންޖީން ގެންގުޅޭ ކަހަލަ ދިގު އޮޑިފައްޔެއްހެނެވެ
އުވަގަނޑު	(2) އަތްބުޑު އުވަޖަހާ ތަންތާނގައި ވަކީން ފަށަލަޔަކަށް އުސްކޮށްފައި ހުންނަ ތަންތަން
އުވަގަނޑުހެދުން	(2) އުވަޖަހާއިރު ބޯކޮށް އުވަފަށް ނެރުން
އުވަގަނޑުލުން	(2) އަތްބުޑު އުވަޖަހާއިރު އެކިގޮތްގޮތަށް އުވަފަށްފަށް ހެދުން
އުވަގެށުން	އުވަޔާއި ވެލީގެ ތެރެޔަށް ފެން އަޅައި ރަނގަޅަށް އެއްކޮށްގެން ރާނާން ތައްޔާރުކުރުން
އުވަޖެހުން	(2) މިއުވަ އެއްވަރުކޮށް އޮމާންކުރުން
އުވިދިޔުން	މުޅީން ނެތިދިޔުން
އުވިދިޔުން	(3) ރޫޅިދިޔުން
އުވުން	ނެތިވުން
އުމަތް	މިނަށް ހަދައިފައިހުރި ތާކަށް ހަރާއެއްޗެއް ކަތިވެގެން ވާތާށި
އުމަތްކުރުން	(2) ތާށިކުރުން
އުމަތްވުން	ކަތިވެގެން ތާށިވުން
އުމަގު	(2) އަނގަކުޑަކޮށް އެތެރެބޮޑުކޮށް ހެދިފައިހުންނަފާރު
އުމަގުކެއްކުން	އުމަގުހުންނަތާގެ މަތީގައި ޚާއްޞަބޭހެއް އަޅައިގެން ހޫނުކުރުން
އުމަގުތެޔޮ	އުމަގުފާރު ހިއްކުމަށް ގުންބާއިން ދުއްވާތެޔޮ
އުމާ	) އަންނާށޭ
އުމުން	) އައުން
އުމުރު	(2) ޙަޔާތުގެ މިންވަރު
އުމުރުދެބައިވުން	އުމުރުން ތިރީސް އަހަރުވުން
އުފަން	ކުއްޖަކު ދުނިޔެއަށްވާ ފައުޅު
އުފަންކުރެއްވިގޮތަށް	(2) ގައިގާ އެއްވެސް އެއްޗެއްނެތި
އުފަންވުން	ކުއްޖަކު މާބަނޑުން ބޭރުވުން
އުފަންދުވަސް	ކުއްޖަކު ދުނިޔެއަށް ފައުޅުވީ ދުވަސް
އުފަކާރަ	(3) މަންފާ
އުފައު	(2) ފަސޭހަކަން
އުފައުކުރުން	ހިތަށާއި ސިކުނޑިއަށް ތަނަވަސްކަމާއި އަރާމު ލިބޭގޮތްހެދުން
އުފައުވުން	ހިތަށާއި ސިކުނޑިއަށް ތަނަވަސްކަމާއި އަރާމުލިބުން
އުފައުވެރި	ހިތަށާއި ސިކުނޑިއަށް އަރާމުލިއްބާ
އުފައުވެރިކަން	ހިތަށާއި ސިކުނޑިއަށް ތަނަވަސްކަމާއި އަރާމުލިއްބާކަން
އުފައުފާޅުކުރުން	ތިމާއަށްލިބޭ އުފައު އެކިގޮތްގޮތުން މީސްތަކުންނަށް އެންގުން
އުފަދާނަ	އަންގާގެ ނަކަތްތެރިކަމުގައި ދުވަސް ބަލައިފައިވާ ބައިތަކުގެ ތެރެއިން ބައެއް
އުފުރައިލުން	ލުއްސައިލުން
އުފުރާނޭވާ	މަރަށް ޙާޒިރުވެފައިވާ މީހާ އެންމެ ފަހަށް ލާ ދެތިން ނޭވާ
އުފުރުން	އުފުރާ އމ
އުފުއްލުން	އުފުއްލާ އމ
އުފުލާމާރު	އެންހިފާމެދުރީގެ އޮޑިދޮށުމާރު
އުފުލާމީހުން	ކުއްޔަށްއެއްޗެހި އުފުލައި އުޅޭމީހުން
އުފުލާގޯނި	(3) ކުޓުވާމީހާ
އުފުލި	(3) ދޯނިފަހަރު އަޅާއިރު އެއަޅާވައު އަޑިޔަށްގޮސް ގަލުގައި އެޅިދާނެތީވެ އުފުއްލާންއޭގައި އައްސާ ކަނދުގަނޑު
އުފުލުން	އުފުލާ އމ
އުފެއްދުން	އުފައްދާ އމ
އުފެދުން	އުފެދޭ އމ
އުދަ	(2) ތަރި އިރު ހަނދު އެރުން
އުދަރެސް	އުޑުގޮސް ކަނޑުގައި ޖެހިފައި ހުންނަހެން ފެންނަ ހިސާބު
އުދަރެސްމަތި	އުދަރެސް ކައިރީގެ އުޑު
އުދަރެސްލިއުން	ވިގަންޏަށް ހަދާފަންޑިތައެއް
އުދަބާނި	(2) މަޖާޒު: ހިލިގެންއުޅޭ ގުޖަޑުގަނޑު
އުދައެރުން	އަދަމޫސުމުގައި އާދަޔާ ޚިލާފަށް ބޮޑެތިރާޅު އެރުން
އުދައްދަނޑި	މިއީ ފަލަ ރިތަކަށްވުރެ ފަލަނުވެ ތެދަށްހެދޭ ގަހެކެވެ
އުދަވުން	އިރުހަނދާއި ތަރިއެރުން
އުދަލި	މީގެ ތިލަ އޮންނަނީ ތުނިކޮށް ހަތަރެސްކަން ހަމަވާ ވަރަށްވުރެ ކުޑަ ތަންކޮޅެއް ދިގުކޮންނެވެ
އުދަލިކަޅުހުޓު	) ނަގޫފަތުގައި ހުރަހަށް ކަޅުރޮނގެއް ހުންނަ ކަޅުއޮށް
އުދަލިކަޅުއޮށް	) ނަގޫފަތުގައި ހުރަހަށް ކަޅުރޮނގެއް ހުންނަ ކަޅުއޮށް
އުދަލިކާރުން	އުދަލީން ވަޅުކޮނުމުގެ މަސައްކަތް އުޖޫރައަށްކޮށް އުޅޭ މީހުން
އުދަލިތިލަ	އުދަލީގެ ތިލަ
އުދަގޫ	(3) ހުވަ
އުދާސް	(3) އެއްޗަކަށް ހޫނުވެގެން އަރާއާވި
އުދާސްނެގުން	(3) ދިލަހޫނެއް ނެގުން
އުދާސްކުރުން	ހުންމަޑުވުމާއެކު ދައުހިއްލުން
އުދާސްއެރުން	(2) އާވިއެރުން
އުދާސްވުން	އުދާހުގެ ހޫނުވުން
އުދުހުން	މަޖާޒު: (3) ކޮޅުނެތްކޮޅަށް އުފަލުގައި ދިރިއުޅުން
އުދުން	އުދުނެއްގެ މަތީގައި ކައްކަން ގެންގުޅޭ ކަންވާރެއް ބެހެއްޓުން
އުދުއްޅާ	) އުނދުޅި
އުދުލި	) އުނދަލި
އުދޮއި	މިއޮއި ދަމަނީ އިރުމައްޗަށެވެ
އުތަ	އ
އުތުރަ	ބާރަވަނަ ނަކަތުގެ ނަން
އުތުރަހަޅަ	މިއީ އިރުވައިގެ ތިންވަނަ ނަކަތެވެ
އުތުރިއެރުން	(1) އުތުރިގެން އެރުން
އުތުރިގަތުން	(2) ހައިޖާނެއް ހިނގައިގަތުން
އުތުރު	(2) ގަހާފަރާތް
އުތުރުނަކަތް	ނ
އުތުރުން	އުތުރޭ އމ
އުތުރުއަރުމާޒު	މުސްކުޅި ބަންޑާރައިން މާލޭން އުތުރު ރަށްރަށަށް ވަޑައިގެންނެވި އަރުމާޒު
އުތުރުއެނދު	އިހުގައި މީހަކުވިހާންވެއްޖެނަމަ ވިހާނީ މިއެނދުގައެވެ
އުތުރުވައިގަތުން	ރުޅިއައިސްގެން އެއްޗެތިގޮވައި ތެޅިފޮޅި ހެދުން
އުތުރުފަރާތް	(2) މަޖާޒު: ގޭގެ ފިރިހެނުން އުޅޭ ފަރާތް
އުތުރުދޮރު	(2) ގޭގެ ބޭރުގެއިން އުތުރު ފަރާތަށް ނިކުންނާން ހުންނަ ދޮރު
އުތުވައިލުން	އެއްޗަކުން އެތިކޮޅެއް ނައްޓުވައިލުން
އުތުވުން	އެއްޗަކުން އެތިކޮޅެއް ނެއްޓުން
އުލަށް ހެޔަވަރުވުން	މަޖާޒު: ނުރުހޭ ކޮންމެކަމަކާ މަތިވުން
އުލުބޭންދުން	ބޭންދީމާ އެއޫ ފުރަގަސް ފަރާތުން ވަދެގެންގޮސް ބޮލުން ނުކުންނަނީއެވެ
އުލުއިންދާފައި އިރަށްދޮންކުރުން	(2) އުލުއިންދާފައި އަވީގައި ބޭންދުން
އުލުއިންދުން	އުލުބޭންދުން
އުލުޖެހުން	އުލަށް އެމުނުން
އުލް	) ކާއިރު ބޭނުންކުރާ އޫ
އުގާ	ވަރަށް ހިމަކޮށް މޮޅަށް ވަށައިފައި ހުންނަ ރޯނެކެވެ
އުގާނަ	) ތުރާކަން
އުގާރޯނު	ކިފުޅިނުލައި މާހިމަކޮށް ހަރުކޮށް ވަށައިފައި ހުންނަ ރޯނެއް
އުގްރެސް	ވިލާތު ފޮނިކުންނާރު
އުސޫލަ	(2) ޅެންލަވަ ފަދަ ލަވައާއި އެނޫންވެސް ބައެއް ލަވަ ކިޔާއިރު ނަގާ ކިޔާތަންކީމާ އެންމެން ކިޔާތަން
އުސޫލު	(2) ބިނާވެފައިވާ މައިގަނޑު އަސްލުގެ ޖަމްޢު
އުސް	(3) މަތި
އުސްކަން	"އުސް" ގެ ނަންއިތުރުގެ ނަން
އުސްކުރުން	(2) އުފުލުން
އުސްފުމުން	(2) އެއްޗެއްގެ މަތިން ފުމުން
އުސްތާދު	(2) އެދުރުމީހާ
އުސްތާޒު	(2) އެދުރުމީހާ
އުޑަފައިން އިނުން	މިގޮތަށް އިންނައިރު ހުންނާނީ ދެފައިގެ ކުޑަކަޅުވާ މަހުގައި މާކަޅުވާމަސް ޖެހިފައެވެ
އުޑަގޮހެލުން	) އުކުނޑިކޮއްޓުން
އުޑި	) އުނިޔަ
އުޑިކިބަފިލުން	(2) ކަންކަމުގެ މަޢުލޫމާތު އެނގުން
އުޑިއެނބުރުން	(3) ވައަތު ފައިމަތީ އިށީނދެ އިނދެގެން ދެއަތުން އުފުލިލާފައި ކަނާތުފައި ވާތުފައިގެ ދަށުން ނެރެގެން އެނބުރުން
އުޑިއެޅުން	(އެއިރުހުންނަންވާނީ އުޑީގެ ދަށުގައި އެއްޗެއް ފަތުރާފައެވެ
އުޑިވުން	މަޖާޒު: (3) އަޅާގަދަ ވޭނަކުން ލިބޭ އިޙްސާސަކުން ނުވަތަ ކުރާ އަސަރަކުން ހަދާނޭގޮތް ހުސްވާހިސާބަށް ދިއުން
އުޑިފަނި	(ގޮވާހުރިހާ ފަންޏަކީ އުޑިފަންޏެވެ
އުޑިފިލުން	(2) ތަންދޮރު ފިލުން
އުޑު	(2) ފަލަކު
އުޑުން	) ފުންނާބު
އުޑުބަޅުކުރެއްވިހިސާބު	(3) މުޅިދުނިޔެ
އުޑުބޮމަ	(3) މެދުމިނުގެ މީހަކު ކޮޅަށް ހުރެފައި މައްޗަށް އަތްދަމައިލީމާ ފައިތިލަ ޖެހިފައި ހުރި ހިސާބުން ފަށައިގެން ދަމައިލި އަތުގެ މެދު އިނގިލީގެކުރިއަށް ހުންނަމިން
އުޑުވަރުހިފުން	ދަތުރު ކުރެވޭ ފަދަ ވަގުތު ކޮޅެއް ލިބުން
އުޑުވިލާ	އެކަމަކު އެލެކްޓްރިކްގެ ބާރުން އެންދާލެވިދާނެއެވެ
އުޑުވިލާ މުޑުދާސް	މީގެސިފަ އުޑުވިލާއާ ވަރަށް އެއްގޮތްވާނެއެވެ
އުޑުވިލާދާރި	އިހުޒަމާނުގައި އަންހެނުން ލިބާސްލާ އުޅުނު ފޮއްޗެއް
އުޑުވިލާސާޓަނު	އިހުޒަމާނުގައި އަންހެނުންލިބާސްލާ އުޅުނު ފޮއްޗެއް
އުޑުމަތި	އުޑު
އުޑުމާ	) ފުންނާބު
އުޑުތިލަމަތިންއޮތުން	މިބަސް ބޭނުންކުރަނީ ފުރާނަ އެޅުއްވި އެއްޗިއްސަށް ނިސްބަތްކޮށެވެ
އުޑުތެރެ	މައްޗަށްގޮސް ލޮލުގެ ކޮޅަށް އޮބާލާ ހިސާބު
އުޕަރުވުން	ހިތްމޮޅުވެ ބޮޑާވުން
އުޖަޑު	(2) ގަމާރު
އުޖާލާ	(2) ސާފުކަމާއެކު އިންސާނެއްގެ މޫނުމަތިން ފެންނަ ހިތްހަމަޖެހުމާއި އުފާވެރިކަމުގެ ނިޝާން
އުޖާޑު	ފޮރުވުން
އުޖޫރަ	މަސައްކަތުއަގު
އޫ	އެއްކޮޅު ފޭހިފައިވާ
އޫނ	ބުނާރާގުންނާއި ބުނެވޭ ދިގުކުރު މިނުންނެވެ
އޫނއެޅުން	ކިރިޔާ އާނއެކޭ ބުނުން
އޫނާޑެތޯޅު	) ތުންދިގު ތޮޅި
އޫރު	(2) ސުވަރު
އޫބޫފިލި	ބަޅުފިޅީގެ ދެމޭފިލި
އޫފިޔަމަދިރި	އެހެން މަދިރި ހެފުމަށްވުރެ މާތަދުވާނެއެވެ
އޫދު	ނަރުފުރައިފައި އޮންނަ ލަވަޖަހާ އެއްޗެއް
އޫދެއު	) ދިގުދައު
އޫތެއްރާ	) އުއިވަށައިފައި އޮންނަތޭރި
